Date, Vis Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score,Home Team, Rushing Yards, Rushing Attempts, Passing Yards,Passing Attempts, Passing Completions, Penalties, Penalty Yards, Fumbles Lost,Interceptions Thrown, 1st Downs, 3rd Down Attempts, 3rd Down Conversions,4th Down Attempts, 4th Down conversions, Time of Possession, Score
2015-11-07, Charlotte, 131, 48, 264, 38, 25, 7, 77, 0, 1, 27, 16, 5, 2, 2, 1760, 31, FIU, 155, 32, 284, 42, 27, 6, 55, 0, 1, 24, 14, 5, 3, 3, 1840, 48
2015-11-08, Arizona, 60, 32, 352, 47, 31, 9, 80, 0, 1, 24, 15, 4, 3, 1, 1702, 30, USC, 229, 40, 243, 36, 22, 8, 70, 1, 0, 23, 18, 10, 1, 1, 1898, 38
2015-11-08, Auburn, 311, 52, 132, 17, 13, 6, 78, 0, 0, 20, 17, 9, 0, 0, 2037, 26, Texas A&M, 166, 38, 137, 35, 18, 3, 20, 0, 3, 21, 16, 10, 2, 0, 1563, 10
2015-11-08, Cal, 103, 24, 329, 42, 18, 6, 64, 0, 1, 20, 15, 6, 1, 1, 1364, 28, Oregon, 477, 63, 300, 29, 17, 10, 90, 0, 2, 36, 17, 10, 0, 0, 2236, 44
2015-11-08, Iowa State, 114, 38, 260, 51, 26, 5, 23, 0, 1, 22, 21, 6, 4, 1, 2012, 16, Oklahoma, 279, 39, 405, 33, 25, 2, 10, 1, 0, 28, 10, 4, 1, 0, 1588, 52
2015-11-08, Kansas, 192, 48, 234, 41, 19, 3, 15, 1, 3, 23, 20, 9, 3, 1, 1943, 20, Texas, 299, 40, 299, 30, 19, 6, 36, 1, 0, 20, 13, 6, 1, 1, 1657, 59
2015-11-08, LSU, 54, 26, 128, 19, 6, 7, 48, 0, 1, 12, 11, 3, 0, 0, 1233, 16, Alabama, 250, 55, 184, 24, 18, 9, 88, 1, 0, 28, 15, 7, 2, 1, 2367, 30
2015-11-08, Michigan State, 143, 34, 348, 39, 24, 8, 76, 0, 1, 25, 14, 8, 2, 1, 1945, 38, Nebraska, 179, 36, 320, 33, 19, 5, 55, 0, 2, 24, 12, 6, 1, 1, 1655, 39
2015-11-08, Minnesota, 33, 26, 281, 45, 27, 3, 25, 0, 1, 13, 19, 7, 2, 1, 1888, 14, OSU, 189, 44, 187, 22, 12, 5, 45, 1, 0, 18, 16, 7, 0, 0, 1712, 28
2015-11-08, Old Dominion, 170, 37, 378, 48, 29, 0, 0, 0, 1, 30, 14, 4, 2, 1, 2149, 36, UTSA, 141, 38, 283, 38, 26, 3, 34, 1, 0, 24, 15, 7, 2, 0, 1451, 31
2015-11-08, USF, 242, 60, 200, 23, 12, 6, 58, 1, 0, 23, 19, 6, 1, 1, 2111, 22, ECU, 62, 34, 158, 23, 14, 5, 40, 0, 0, 8, 14, 3, 1, 1, 1489, 17
2015-11-08, Navy, 374, 66, 85, 5, 3, 2, 5, 0, 0, 23, 13, 8, 0, 0, 2217, 45, Memphis, 133, 31, 305, 42, 26, 4, 43, 2, 1, 21, 15, 7, 4, 2, 1383, 20
2015-11-08, Utah, 191, 45, 155, 25, 12, 6, 60, 2, 1, 19, 15, 6, 2, 1, 1700, 34, Washington, 124, 39, 257, 39, 23, 6, 65, 3, 1, 20, 16, 7, 2, 1, 1900, 23
